Epoch, Log-likelihood, Accuracy, RMSE
1,  3.66533,  0.72193,  1151.99329
2,  3.73377,  0.72193,  1166.61404
3,  3.74741,  0.72193,  1276.96752
4,  3.75138,  0.74714,  1222.35685
5,  3.76430,  0.72277,  1276.69393
6,  3.78191,  0.73032,  1248.31784
7,  3.78608,  0.72364,  1375.66331
8,  3.78792,  0.72193,  1373.05806
9,  3.76566,  0.72193,  1386.79570
10,  3.76293,  0.30046,  1392.50519
11,  3.76662,  0.72193,  1449.16930
12,  3.76401,  0.72241,  1430.24965
13,  3.75540,  0.72193,  1441.09920
14,  3.74433,  0.62045,  1430.07801
15,  3.75580,  0.50605,  1434.46587
16,  3.75201,  0.72787,  1427.25950
17,  3.75485,  0.72319,  1417.09549
18,  3.75379,  0.47506,  1419.31726
19,  3.75367,  0.72349,  1433.96895
20,  3.75791,  0.72373,  1449.48135
