Epoch, Log-likelihood, Accuracy, RMSE
1,  3.71579,  0.64410,  1229.01140
2,  3.74582,  0.44629,  1227.49973
3,  3.75575,  0.72193,  1274.55546
4,  3.75824,  0.44638,  1311.22982
5,  3.75474,  0.72193,  1380.38176
6,  3.75838,  0.72193,  1386.21561
7,  3.75909,  0.27807,  1397.48025
8,  3.75572,  0.72850,  1407.11916
9,  3.75625,  0.70785,  1448.78241
10,  3.75527,  0.72193,  1338.30327
11,  3.75598,  0.63391,  1393.31167
12,  3.75669,  0.59752,  1438.07972
13,  3.75894,  0.37092,  1484.91508
14,  3.75568,  0.27807,  1446.04069
15,  3.75793,  0.47198,  1410.42291
16,  3.75336,  0.27807,  1455.13351
17,  3.75449,  0.72193,  1434.44076
18,  3.75658,  0.28100,  1429.76732
19,  3.75922,  0.28397,  1444.79492
20,  3.75688,  0.54837,  1451.91066
